Id,CopyId,UTC,UTCMilliseconds,PCLocalTime,PCTime,EventEnd,eventType,nClicks,minNumber,bestNumber,maxNumber,colour,comment,channels,TMModelName1,TMLatitude1,TMLongitude1,BeamLatitude1,BeamLongitude1,BeamTime1,TMSide1,TMChi21,TMAIC1,TMProbability1,TMDegsFreedom1,TMPerpendicularDistance1,TMPerpendicularDistanceError1,TMDepth1,TMDepthError1,TMHydrophones1,TMError1,TMComment1,TMLatitude2,TMLongitude2,BeamLatitude2,BeamLongitude2,BeamTime2,TMSide2,TMChi22,TMAIC2,TMProbability2,TMDegsFreedom2,TMPerpendicularDistance2,TMPerpendicularDistanceError2,TMDepth2,TMDepthError2,TMHydrophones2,TMError2,TMComment2,UID,ChannelBitmap,SequenceBitmap
322,,2018-07-23 10:54:13.197,197,2018-07-23 11:54:13.197,2019-09-25 10:02:25.293,2018-07-23 11:26:51.575,SWC         ,945,1,1,1,10,,3,Least squares                 ,40.07481573390207,9.930345733364534,40.08258333333333,9.959,1532344313820,0,10.051139319625777,9482.224378407109,,,2584.696510699724,13.913046882653294,0,,0,"{""NAME"":""SimpleError"",""PERP"":1.391E1,""PARR"":6.646E0,""ANGLE"":4.312E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,322,,
323,,2018-07-23 11:15:51.296,296,2018-07-23 12:15:51.296,2019-09-25 10:02:25.350,2018-07-23 11:23:37.199,SWC         ,78,1,1,1,11,,3,Least squares                 ,40.05440714691707,9.992426566175078,40.04865,9.97425,1532345391080,0,0.785419117214332,63.69185290828923,,,1673.201015776264,79.92345833229498,0,,0,"{""NAME"":""SimpleError"",""PERP"":7.992E1,""PARR"":9.433E1,""ANGLE"":4.251E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,323,,
324,,2018-07-23 11:23:33.719,719,2018-07-23 12:23:33.719,2019-09-25 10:02:25.350,2018-07-23 11:36:39.053,SWC         ,328,1,1,1,12,,3,Least squares                 ,40.04701976652916,9.995256682687689,40.04183333333334,9.977466666666666,1532345613480,0,1.0328822138602167,340.7196017184307,,,1619.374195505375,16.632264351848676,0,,0,"{""NAME"":""SimpleError"",""PERP"":1.663E1,""PARR"":6.825E0,""ANGLE"":4.268E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,324,,
325,,2018-07-24 00:04:41.296,296,2018-07-24 01:04:41.296,2019-09-25 10:05:01.181,2018-07-24 00:07:05.871,DLP         ,84,1,1,1,1,,3,Least squares                 ,40.47343440743392,10.455448640687239,40.47405,10.4525,1532390688620,0,0.6779132175327106,59.58888383768227,,,258.46303420391916,5.063116121517713,0,,0,"{""NAME"":""SimpleError"",""PERP"":5.063E0,""PARR"":2.158E0,""ANGLE"":1.722E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,325,,
326,,2018-07-24 06:15:38.939,939,2018-07-24 07:15:38.939,2019-09-25 10:12:53.474,2018-07-24 06:43:20.628,SWC         ,200,1,1,1,2,,3,Least squares                 ,40.961725570580306,10.601245930929691,40.95976666666667,10.618716666666666,1532414094220,0,4.1155467808393,818.8782626061815,,,1482.098104568397,17.839889880577946,0,,0,"{""NAME"":""SimpleError"",""PERP"":1.784E1,""PARR"":1.134E1,""ANGLE"":1.897E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,326,,
327,,2018-07-24 06:21:16.614,614,2018-07-24 07:21:16.614,2019-09-25 10:12:53.491,2018-07-24 06:48:23.199,SWC         ,229,1,1,1,3,,3,Least squares                 ,40.95851327729008,10.643267622671939,40.96205,10.6193,1532414198190,0,1.8723163647523897,429.01581479879246,,,2049.25272942213,23.067901556631774,0,,0,"{""NAME"":""SimpleError"",""PERP"":2.307E1,""PARR"":1.367E1,""ANGLE"":1.88E0}                                                             ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,327,,
328,,2018-07-24 06:22:15.131,131,2018-07-24 07:22:15.131,2019-09-25 10:12:53.491,2018-07-24 06:57:43.935,SWC         ,241,1,1,1,4,,3,Least squares                 ,40.95660662267416,10.641477573260284,40.9593,10.61865,1532414073700,0,2.1601503388535486,520.2759309859981,,,1938.8558189052185,18.27330934429193,0,,0,"{""NAME"":""SimpleError"",""PERP"":1.827E1,""PARR"":8.723E0,""ANGLE"":1.81E0}                                                             ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,328,,
329,,2018-07-24 06:29:30.148,148,2018-07-24 07:29:30.148,2019-09-25 10:12:53.491,2018-07-24 06:52:25.413,SWC         ,193,1,1,1,5,,3,Least squares                 ,40.96626516400541,10.665423602423862,40.974866666666664,10.622866666666667,1532414785740,0,3.4319546535347083,659.5033388251293,,,3696.274831880312,74.65695104590522,0,,0,"{""NAME"":""SimpleError"",""PERP"":7.466E1,""PARR"":3.151E1,""ANGLE"":1.95E0}                                                             ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,329,,
330,,2018-07-24 06:28:31.554,554,2018-07-24 07:28:31.554,2019-09-25 10:12:53.491,2018-07-24 07:12:17.254,SWC         ,303,1,1,1,6,,3,Least squares                 ,40.982377191358175,10.586022557347427,40.975833333333334,10.623116666666666,1532414827540,0,3.530051003225123,1066.545351970762,,,3195.650940198192,31.7861417641941,0,,0,"{""NAME"":""SimpleError"",""PERP"":3.179E1,""PARR"":1.35E1,""ANGLE"":1.95E0}                                                              ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,330,,
331,,2018-07-24 06:30:23.197,197,2018-07-24 07:30:23.197,2019-09-25 10:12:53.491,2018-07-24 07:11:36.988,SWC         ,317,1,1,1,7,,3,Least squares                 ,40.96734104527868,10.648515062290695,40.971466666666664,10.621783333333333,1532414638520,0,3.1661204936661305,1001.327955504831,,,2289.2251778348304,26.91526226857298,0,,0,"{""NAME"":""SimpleError"",""PERP"":2.692E1,""PARR"":1.042E1,""ANGLE"":1.845E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,331,,
